"filename", "language", "Log", "HTML", "Python", "Batch", "Verilog", "C++", "Ini", "C", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000000665736383_2652076587.c", "C", 0, 0, 0, 0, 0, 0, 0, 550, 0, 0, 12, 85, 647
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000000753521348_4111503280.c", "C", 0, 0, 0, 0, 0, 0, 0, 3536, 0, 0, 12, 365, 3913
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000000843473622_1579609468.c", "C", 0, 0, 0, 0, 0, 0, 0, 1090, 0, 0, 12, 211, 1313
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000000926058785_0757879789.c", "C", 0, 0, 0, 0, 0, 0, 0, 436, 0, 0, 12, 70, 518
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000001554229104_1785967555.c", "C", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 12, 22, 150
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000001571876266_2433390638.c", "C", 0, 0, 0, 0, 0, 0, 0, 568, 0, 0, 12, 85, 665
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000001673069210_3877310806.c", "C", 0, 0, 0, 0, 0, 0, 0, 1044, 0, 0, 12, 127, 1183
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000001867419525_3935346387.c", "C", 0, 0, 0, 0, 0, 0, 0, 505, 0, 0, 12, 85, 602
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002203179939_0724051272.c", "C", 0, 0, 0, 0, 0, 0, 0, 33308, 0, 0, 12, 2913, 36233
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp1.2\mips1\isim\mips_tb_isim_beh.exe.sim\work\m_00000000002330466608_0053799672.c", "C", 0, 0, 0, 0, 0, 0, 0, 1025, 0, 0, 12, 103, 1140
